0,PubChem_lookup_inchis,PubChem_lookup_cid,OPSIN_inchis,OPSIN_comments
"1,8-cineol",,NA,,"1,8-cineol'' is unparsable due to the following being uninterpretable: ''1,8-cineol'' The following was not parseable: ''1,8-cineol''"
"1,8-cineole",,NA,,"1,8-cineole'' is unparsable due to the following being uninterpretable: ''1,8-cineole'' The following was not parseable: ''1,8-cineole''"
"1,8-cineole + limonene",,NA,,"1,8-cineole + limonene'' is unparsable due to the following being uninterpretable: ''1,8-cineole + limonene'' The following was not parseable: ''1,8-cineole + limonene''"
10-epi- gamma-eudesmol,,NA,,10-epi- gamma-eudesmol is unparsable due to the following being uninterpretable: 10-epi- gamma-eudesmol The following was not parseable: pi- gamma-eudesmol
10-epi-gamma eudesmol,,NA,,10-epi-gamma eudesmol is unparsable due to the following being uninterpretable: 10-epi-gamma eudesmol The following was not parseable: pi-gamma eudesmol
10-hydroxy cadin-4-ene-3-one,,NA,,10-hydroxy cadin-4-ene-3-one is unparsable due to the following being uninterpretable: cadin-4-ene-3-one The following was not parseable: cadin-4-ene-3-one
14-hydroxy-9-epi-beta-caryophyllene,,NA,,14-hydroxy-9-epi-beta-caryophyllene is unparsable due to the following being uninterpretable: 9-epi-beta-caryophyllene The following was not parseable: pi-beta-caryophyllene
14-hydroxy-alpha-muurolene,,NA,,14-hydroxy-alpha-muurolene is unparsable due to the following being uninterpretable: alpha-muurolene The following was not parseable: muurolene
14-hydroxy-beta-caryophyllene,,NA,,14-hydroxy-beta-caryophyllene is unparsable due to the following being uninterpretable: beta-caryophyllene The following was not parseable: yophyllene
"2-methyl-6-methylene-3,7-octadien-2-ol",,NA,,"2-methyl-6-methylene-3,7-octadien-2-ol'' is unparsable due to the following being uninterpretable: ''2-methyl-6-methylene-3,7-octadien-2-ol'' The following was not parseable: ''2-methyl-6-methylene-3,7-octadien-2-ol''"
2-methylbutylisobutyrate,,NA,"InChI=1/C9H18O2/c1-5-8(4)6-11-9(10)7(2)3/h7-8H,5-6H2,1-4H3",
2-methylbutyltiglate,,NA,"InChI=1/C10H18O2/c1-5-8(3)7-12-10(11)9(4)6-2/h6,8H,5,7H2,1-4H3/b9-6+",
2-methyltiobenzotiazol,,NA,,2-methyltiobenzotiazol is unparsable due to the following being uninterpretable: tiobenzotiazol The following was not parseable: tiobenzotiazol
2-phenylethylisovalerate,,NA,"InChI=1/C13H18O2/c1-11(2)10-13(14)15-9-8-12-6-4-3-5-7-12/h3-7,11H,8-10H2,1-2H3",
2-tridecanonene,,NA,,Unable to assign all locants
"2,3,4-trimethylbenzaldehyde",,NA,,"2,3,4-trimethylbenzaldehyde'' is unparsable due to the following being uninterpretable: ''2,3,4-trimethylbenzaldehyde'' The following was not parseable: ''2,3,4-trimethylbenzaldehyde''"
"2,4-dimethylphenol",,NA,,"2,4-dimethylphenol'' is unparsable due to the following being uninterpretable: ''2,4-dimethylphenol'' The following was not parseable: ''2,4-dimethylphenol''"
"2,4,5-trimethylbenzaldehyde",,NA,,"2,4,5-trimethylbenzaldehyde'' is unparsable due to the following being uninterpretable: ''2,4,5-trimethylbenzaldehyde'' The following was not parseable: ''2,4,5-trimethylbenzaldehyde''"
"2,4,6-trimethylbenzene",,NA,,"2,4,6-trimethylbenzene'' is unparsable due to the following being uninterpretable: ''2,4,6-trimethylbenzene'' The following was not parseable: ''2,4,6-trimethylbenzene''"
"2,6-dimethyl-1,3(e),s(z),7-octatetraene",,NA,,"2,6-dimethyl-1,3(e),s(z),7-octatetraene'' is unparsable due to the following being uninterpretable: ''2,6-dimethyl-1,3(e),s(z),7-octatetraene'' The following was not parseable: ''2,6-dimethyl-1,3(e),s(z),7-octatetraene''"
"2,6-dimethyl-1,7-octadiene-3,6-diol",,NA,,"2,6-dimethyl-1,7-octadiene-3,6-diol'' is unparsable due to the following being uninterpretable: ''2,6-dimethyl-1,7-octadiene-3,6-diol'' The following was not parseable: ''2,6-dimethyl-1,7-octadiene-3,6-diol''"
"2,6-dimethyl-3(e),5(e),7-octatrien-2-ol",,NA,,"2,6-dimethyl-3(e),5(e),7-octatrien-2-ol'' is unparsable due to the following being uninterpretable: ''2,6-dimethyl-3(e),5(e),7-octatrien-2-ol'' The following was not parseable: ''2,6-dimethyl-3(e),5(e),7-octatrien-2-ol''"
2(e)-hexenal,,NA,,2(e)-hexenal is unparsable due to the following being uninterpretable: 2(e)-hexenal The following was not parseable: al
22-beta-hydroxyoleanonic acid,,NA,,22-beta-hydroxyoleanonic acid is unparsable due to the following being uninterpretable: oleanonic acid The following was not parseable: anonic acid
"3-ethyl-3,5-dimethylpyrazine",,NA,,"3-ethyl-3,5-dimethylpyrazine'' is unparsable due to the following being uninterpretable: ''3-ethyl-3,5-dimethylpyrazine'' The following was not parseable: ''3-ethyl-3,5-dimethylpyrazine''"
"3,4-dimethyl-1,5-heptadiene",,NA,,"3,4-dimethyl-1,5-heptadiene'' is unparsable due to the following being uninterpretable: ''3,4-dimethyl-1,5-heptadiene'' The following was not parseable: ''3,4-dimethyl-1,5-heptadiene''"
"3,4-dimethyl-5-pentylidene-2(5h)-furanone",,NA,,"3,4-dimethyl-5-pentylidene-2(5h)-furanone'' is unparsable due to the following being uninterpretable: ''3,4-dimethyl-5-pentylidene-2(5h)-furanone'' The following was not parseable: ''3,4-dimethyl-5-pentylidene-2(5h)-furanone''"
4-hydroxy-2-methyl acetophenone,,NA,,Cannot find in scope fragment with atom with locant 4.
"4-isopropyl-6-methyl-1,2,3,4-tetrahydronaphthalen-1-one",,NA,,"4-isopropyl-6-methyl-1,2,3,4-tetrahydronaphthalen-1-one'' is unparsable due to the following being uninterpretable: ''4-isopropyl-6-methyl-1,2,3,4-tetrahydronaphthalen-1-one'' The following was not parseable: ''4-isopropyl-6-methyl-1,2,3,4-tetrahydronaphthalen-1-one''"
4-methylene-isophorone,,NA,,Cannot find in scope fragment with atom with locant 4.
4-methylpentylisothiocynate,,NA,,4-methylpentylisothiocynate is unparsable due to the following being uninterpretable: isothiocynate The following was not parseable: thiocynate
4-methylthiobutyl isothiocynate,,NA,,4-methylthiobutyl isothiocynate is unparsable due to the following being uninterpretable: isothiocynate The following was not parseable: thiocynate
"4,3,4-trimetylbenzaldehyde",,NA,,"4,3,4-trimetylbenzaldehyde'' is unparsable due to the following being uninterpretable: ''4,3,4-trimetylbenzaldehyde'' The following was not parseable: ''4,3,4-trimetylbenzaldehyde''"
"4a-beta,7-alpha,7a-beta-nepetalactone",,NA,,"4a-beta,7-alpha,7a-beta-nepetalactone'' is unparsable due to the following being uninterpretable: ''4a-beta,7-alpha,7a-beta-nepetalactone'' The following was not parseable: ''4a-beta,7-alpha,7a-beta-nepetalactone''"
"5-(3-furyl),2-methyl-1-penten-3-ol",,NA,,"5-(3-furyl),2-methyl-1-penten-3-ol'' is unparsable due to the following being uninterpretable: ''5-(3-furyl),2-methyl-1-penten-3-ol'' The following was not parseable: ''5-(3-furyl),2-methyl-1-penten-3-ol''"
5-epi-paradisiol,,NA,,5-epi-paradisiol is unparsable due to the following being uninterpretable: 5-epi-paradisiol The following was not parseable: pi-paradisiol
5-undecanole,,NA,,5-undecanole is unparsable due to the following being uninterpretable: e The following was not parseable: e
"6-alpha-hydroxygermacra-1(10),4-diene",,NA,,"6-alpha-hydroxygermacra-1(10),4-diene'' is unparsable due to the following being uninterpretable: ''6-alpha-hydroxygermacra-1(10),4-diene'' The following was not parseable: ''6-alpha-hydroxygermacra-1(10),4-diene''"
"6-hydroxy-2,2,6-trimethyl-cyclohexanone",,NA,,"6-hydroxy-2,2,6-trimethyl-cyclohexanone'' is unparsable due to the following being uninterpretable: ''6-hydroxy-2,2,6-trimethyl-cyclohexanone'' The following was not parseable: ''6-hydroxy-2,2,6-trimethyl-cyclohexanone''"
"6-methyl-3,5-heptadien-2-one",,NA,,"6-methyl-3,5-heptadien-2-one'' is unparsable due to the following being uninterpretable: ''6-methyl-3,5-heptadien-2-one'' The following was not parseable: ''6-methyl-3,5-heptadien-2-one''"
"6-metyl-3,5-heptadien-2-one",,NA,,"6-metyl-3,5-heptadien-2-one'' is unparsable due to the following being uninterpretable: ''6-metyl-3,5-heptadien-2-one'' The following was not parseable: ''6-metyl-3,5-heptadien-2-one''"
"6,10,14-trimethylpentadecan-2-one",,NA,,"6,10,14-trimethylpentadecan-2-one'' is unparsable due to the following being uninterpretable: ''6,10,14-trimethylpentadecan-2-one'' The following was not parseable: ''6,10,14-trimethylpentadecan-2-one''"
7-alpha-h-silphiperphol-5-ene,,NA,,7-alpha-h-silphiperphol-5-ene is unparsable due to the following being uninterpretable: 7-alpha-h-silphiperphol-5-ene The following was not parseable: h-silphiperphol-5-ene
7-isobutyryloxythymolisobutyrate,,NA,,7-isobutyryloxythymolisobutyrate is unparsable due to the following being uninterpretable: isobutyrate The following was not parseable: isobutyrate
"7alphah,10deltah-cadina-1(6),4-diene",,NA,,"7alphah,10deltah-cadina-1(6),4-diene'' is unparsable due to the following being uninterpretable: ''7alphah,10deltah-cadina-1(6),4-diene'' The following was not parseable: ''7alphah,10deltah-cadina-1(6),4-diene''"
8-hydroxy bicyclogermacrene*,,NA,,8-hydroxy bicyclogermacrene* is unparsable due to the following being uninterpretable: bicyclogermacrene* The following was not parseable: acrene*
9-aristolen-1-alpha-ol,,NA,,9-aristolen-1-alpha-ol is unparsable due to the following being uninterpretable: 9-aristolen-1-alpha-ol The following was not parseable: aristolen-1-alpha-ol
"9,12-octadecadienoic acid",,NA,,"9,12-octadecadienoic acid'' is unparsable due to the following being uninterpretable: ''9,12-octadecadienoic acid'' The following was not parseable: ''9,12-octadecadienoic acid''"
"acora-3,5-diene-11-ol",,NA,,"acora-3,5-diene-11-ol'' is unparsable due to the following being uninterpretable: ''acora-3,5-diene-11-ol'' The following was not parseable: ''acora-3,5-diene-11-ol''"
aliphatic hydrocarbons,,NA,,aliphatic hydrocarbons is unparsable due to the following being uninterpretable: aliphatic hydrocarbons The following was not parseable: aliphatic hydrocarbons
alkane and alkene,,NA,,alkane and alkene is unparsable due to the following being uninterpretable: alkane and alkene The following was not parseable: alkane and alkene
allo-ammadendrene,,NA,,allo-ammadendrene is unparsable due to the following being uninterpretable: allo-ammadendrene The following was not parseable: ammadendrene
allo-aromadandrene,,NA,,allo-aromadandrene is unparsable due to the following being uninterpretable: allo-aromadandrene The following was not parseable: aromadandrene
alpha- humulene,,NA,,alpha- humulene is unparsable due to the following being uninterpretable: alpha- humulene The following was not parseable: humulene
alpha-amorphene,,NA,,alpha-amorphene is unparsable due to the following being uninterpretable: alpha-amorphene The following was not parseable: amorphene
alpha-bisabololoxide b,,NA,,alpha-bisabololoxide b is unparsable due to the following being uninterpretable: alpha-bisabololoxide b The following was not parseable: abololoxide b
alpha-calacorene+n.i. m+220,,NA,,alpha-calacorene+n.i. m+220 is unparsable due to the following being uninterpretable: alpha-calacorene+n.i. m+220 The following was not parseable: calacorene+n.i. m+220
alpha-campholena,,NA,,alpha-campholena is unparsable due to the following being uninterpretable: alpha-campholena The following was not parseable: na
alpha-campholenicaldehyde,,NA,,alpha-campholenicaldehyde is unparsable due to the following being uninterpretable: alpha-campholenicaldehyde The following was not parseable: nicaldehyde
alpha-copane,,NA,,alpha-copane is unparsable due to the following being uninterpretable: alpha-copane The following was not parseable: copane
alpha-dehydro-ar-himachalene,,NA,,alpha-dehydro-ar-himachalene is unparsable due to the following being uninterpretable: ar-himachalene The following was not parseable: ar-himachalene
alpha-humulene+(z)-methyl isoeugenol,,NA,,alpha-humulene+(z)-methyl isoeugenol is unparsable due to the following being uninterpretable: alpha-humulene+(z)-methyl isoeugenol The following was not parseable: humulene+(z)-methyl isoeugenol
alpha-isocomene,,NA,,alpha-isocomene is unparsable due to the following being uninterpretable: alpha-isocomene The following was not parseable: comene
alpha-muurolol,,NA,,alpha-muurolol is unparsable due to the following being uninterpretable: alpha-muurolol The following was not parseable: muurolol
alpha-p-dimethylstyrene,,NA,,"Unable to assign all locants. These locants were not assigned: alpha 1,para"
alpha-phellandrene epoxide,,NA,,alpha-phellandrene epoxide is unparsable due to the following being uninterpretable: alpha-phellandrene epoxide The following was not parseable: phellandrene epoxide
alpha-phellandrene-8-ol,,NA,,alpha-phellandrene-8-ol is unparsable due to the following being uninterpretable: alpha-phellandrene-8-ol The following was not parseable: phellandrene-8-ol
alpha-pinene oxide isomer2,,NA,,alpha-pinene oxide isomer2 is unparsable due to the following being uninterpretable: isomer2 The following was not parseable: mer2
alpha-selina-11-en-4-ol,,NA,,alpha-selina-11-en-4-ol is unparsable due to the following being uninterpretable: alpha-selina-11-en-4-ol The following was not parseable: ina-11-en-4-ol
alpha-terpineol/borneol,,NA,,alpha-terpineol/borneol is unparsable due to the following being uninterpretable: alpha-terpineol/borneol The following was not parseable: eol/borneol
alpha-trans-bergamotol,,NA,,alpha-trans-bergamotol is unparsable due to the following being uninterpretable: alpha-trans-bergamotol The following was not parseable: bergamotol
artemisiaacetate,,NA,,artemisiaacetate is unparsable due to the following being uninterpretable: artemisiaacetate The following was not parseable: artemisiaacetate
atlantone,,NA,,atlantone is unparsable due to the following being uninterpretable: atlantone The following was not parseable: atlantone
benzene acetaldehyde,,NA,"InChI=1/C6H6.C2H4O/c1-2-4-6-5-3-1;1-2-3/h1-6H;2H,1H3",
bergamale,,NA,,bergamale is unparsable due to the following being uninterpretable: bergamale The following was not parseable: bergamale
bergamotol acetate,,NA,,bergamotol acetate is unparsable due to the following being uninterpretable: bergamotol acetate The following was not parseable: bergamotol acetate
beta- caryophyllene,,NA,,beta- caryophyllene is unparsable due to the following being uninterpretable: beta- caryophyllene The following was not parseable:  caryophyllene
beta-atlantol,,NA,,beta-atlantol is unparsable due to the following being uninterpretable: beta-atlantol The following was not parseable: atlantol
beta-cedren-9-one,,NA,,beta-cedren-9-one is unparsable due to the following being uninterpretable: beta-cedren-9-one The following was not parseable: cedren-9-one
beta-cedreneepoxide,,NA,,beta-cedreneepoxide is unparsable due to the following being uninterpretable: beta-cedreneepoxide The following was not parseable: cedreneepoxide
beta-copaen-4-alpha-ol,,NA,,beta-copaen-4-alpha-ol is unparsable due to the following being uninterpretable: beta-copaen-4-alpha-ol The following was not parseable: copaen-4-alpha-ol
beta-curcumine,,NA,,beta-curcumine is unparsable due to the following being uninterpretable: e The following was not parseable: e
beta-cyperone,,NA,,beta-cyperone is unparsable due to the following being uninterpretable: beta-cyperone The following was not parseable: cyperone
beta-dihydroagarofuran,,NA,,beta-dihydroagarofuran is unparsable due to the following being uninterpretable: agarofuran The following was not parseable: agarofuran
beta-dodecalactone,,NA,,beta-dodecalactone is unparsable due to the following being uninterpretable: beta-dodecalactone The following was not parseable: ne
beta-fenchone,,NA,,beta-fenchone is unparsable due to the following being uninterpretable: beta-fenchone The following was not parseable: fenchone
beta-humulene,,NA,,beta-humulene is unparsable due to the following being uninterpretable: beta-humulene The following was not parseable: humulene
beta-phellandrene+limonene,,NA,,beta-phellandrene+limonene is unparsable due to the following being uninterpretable: beta-phellandrene+limonene The following was not parseable: phellandrene+limonene
beta-phenyl-ethyl acetate,,NA,"InChI=1/C10H12O2/c1-9(11)12-8-7-10-5-3-2-4-6-10/h2-6H,7-8H2,1H3",
beta-pinene0oxide,,NA,,beta-pinene0oxide is unparsable due to the following being uninterpretable: 0oxide The following was not parseable: 0oxide
beta-sanatalene,,NA,,beta-sanatalene is unparsable due to the following being uninterpretable: beta-sanatalene The following was not parseable: sanatalene
"cadin-alpha-1,4-diene",,NA,,"cadin-alpha-1,4-diene'' is unparsable due to the following being uninterpretable: ''cadin-alpha-1,4-diene'' The following was not parseable: ''cadin-alpha-1,4-diene''"
"cadina-1,4-diene",,NA,,"cadina-1,4-diene'' is unparsable due to the following being uninterpretable: ''cadina-1,4-diene'' The following was not parseable: ''cadina-1,4-diene''"
"cadina-1,4-diene+alpha-calacorene",,NA,,"cadina-1,4-diene+alpha-calacorene'' is unparsable due to the following being uninterpretable: ''cadina-1,4-diene+alpha-calacorene'' The following was not parseable: ''cadina-1,4-diene+alpha-calacorene''"
"cadina-4,1(10)-dien-8 beta-ol",,NA,,"cadina-4,1(10)-dien-8 beta-ol'' is unparsable due to the following being uninterpretable: ''cadina-4,1(10)-dien-8 beta-ol'' The following was not parseable: ''cadina-4,1(10)-dien-8 beta-ol''"
calacorene,,NA,,calacorene is unparsable due to the following being uninterpretable: calacorene The following was not parseable: calacorene
camphenehydrate,,NA,,camphenehydrate is unparsable due to the following being uninterpretable: hydrate The following was not parseable: hydrate
canfene,,NA,,canfene is unparsable due to the following being uninterpretable: canfene The following was not parseable: canfene
caranyl acetate ii,,NA,,caranyl acetate ii is unparsable due to the following being uninterpretable: ii The following was not parseable: ii
caratoly,,NA,,caratoly is unparsable due to the following being uninterpretable: caratoly The following was not parseable: toly
carophyllene oxide,,NA,,carophyllene oxide is unparsable due to the following being uninterpretable: carophyllene oxide The following was not parseable: phyllene oxide
"caryophylla-2(12),6-dien-5-beta-ol",,NA,,"caryophylla-2(12),6-dien-5-beta-ol'' is unparsable due to the following being uninterpretable: ''caryophylla-2(12),6-dien-5-beta-ol'' The following was not parseable: ''caryophylla-2(12),6-dien-5-beta-ol''"
"caryophylla-2(12),6-dien-5alpha-ol (=caryophyllenol i)",,NA,,"caryophylla-2(12),6-dien-5alpha-ol (=caryophyllenol i)'' is unparsable due to the following being uninterpretable: ''caryophylla-2(12),6-dien-5alpha-ol (=caryophyllenoli)'' The following was not parseable: ''caryophylla-2(12),6-dien-5alpha-ol (=caryophyllenoli)''"
"caryophylla-2(12),6-diene-5-beta-ol",,NA,,"caryophylla-2(12),6-diene-5-beta-ol'' is unparsable due to the following being uninterpretable: ''caryophylla-2(12),6-diene-5-beta-ol'' The following was not parseable: ''caryophylla-2(12),6-diene-5-beta-ol''"
"caryophylla-4(14),8(15)-diene-5-alpha-ol",,NA,,"caryophylla-4(14),8(15)-diene-5-alpha-ol'' is unparsable due to the following being uninterpretable: ''caryophylla-4(14),8(15)-diene-5-alpha-ol'' The following was not parseable: ''caryophylla-4(14),8(15)-diene-5-alpha-ol''"
"caryophylla-alpha-4(14),8(15)-diene-5-beta-ol",,NA,,"caryophylla-alpha-4(14),8(15)-diene-5-beta-ol'' is unparsable due to the following being uninterpretable: ''caryophylla-alpha-4(14),8(15)-diene-5-beta-ol'' The following was not parseable: ''caryophylla-alpha-4(14),8(15)-diene-5-beta-ol''"
caryophyllen-8-ol,,NA,,caryophyllen-8-ol is unparsable due to the following being uninterpretable: caryophyllen-8-ol The following was not parseable: yophyllen-8-ol
caryophyllenol-i,,NA,,caryophyllenol-i is unparsable due to the following being uninterpretable: caryophyllenol-i The following was not parseable: yophyllenol-i
caryophyllenol-ii,,NA,,caryophyllenol-ii is unparsable due to the following being uninterpretable: caryophyllenol-ii The following was not parseable: yophyllenol-ii
caryophyllenoxide,,NA,,caryophyllenoxide is unparsable due to the following being uninterpretable: caryophyllenoxide The following was not parseable: yophyllenoxide
cedren-8-en-9-alpha-ol,,NA,,cedren-8-en-9-alpha-ol is unparsable due to the following being uninterpretable: cedren-8-en-9-alpha-ol The following was not parseable: cedren-8-en-9-alpha-ol
cis-alpha-bergamotene,,NA,,cis-alpha-bergamotene is unparsable due to the following being uninterpretable: cis-alpha-bergamotene The following was not parseable: bergamotene
cis-beta-guaiene,,NA,,cis-beta-guaiene is unparsable due to the following being uninterpretable: cis-beta-guaiene The following was not parseable: guaiene
cis-beta-terpineold,,NA,,cis-beta-terpineold is unparsable due to the following being uninterpretable: cis-beta-terpineold The following was not parseable: eold
cis-calamene,,NA,,cis-calamene is unparsable due to the following being uninterpretable: cis-calamene The following was not parseable: calamene
cis-carvylacetate,,NA,,cis-carvylacetate is unparsable due to the following being uninterpretable: cis-carvylacetate The following was not parseable: vylacetate
cis-carvylpropionate,,NA,,cis-carvylpropionate is unparsable due to the following being uninterpretable: cis-carvylpropionate The following was not parseable: vylpropionate
cis-chrysanthenylacetate,,NA,,cis-chrysanthenylacetate is unparsable due to the following being uninterpretable: cis-chrysanthenylacetate The following was not parseable: anthenylacetate
cis-chrysanthenylformate,,NA,,cis-chrysanthenylformate is unparsable due to the following being uninterpretable: cis-chrysanthenylformate The following was not parseable: anthenylformate
cis-epoxy-ocimene,,NA,,cis-epoxy-ocimene is unparsable due to the following being uninterpretable: ocimene The following was not parseable: ocimene
cis-limoneneoxide,,NA,,cis-limoneneoxide is unparsable due to the following being uninterpretable: cis-limoneneoxide The following was not parseable: imoneneoxide
cis-linalooloxide,,NA,,"Could not find bond that: <stereoChemistry type=""cisOrTrans"" value=""cis"" subsequentUnsemanticToken=""-"">cis</stereoChemistry> could refer unambiguously to"
cis-linalooloxide (furanoid),,NA,,cis-linalooloxide (furanoid) is unparsable due to the following being uninterpretable: oid) The following was not parseable: )
"cis-mentha-1(7),8-dien-2-ol",,NA,,"cis-mentha-1(7),8-dien-2-ol'' is unparsable due to the following being uninterpretable: ''cis-mentha-1(7),8-dien-2-ol'' The following was not parseable: ''cis-mentha-1(7),8-dien-2-ol''"
cis-muurol-5-en-4-betalpha-ol,,NA,,cis-muurol-5-en-4-betalpha-ol is unparsable due to the following being uninterpretable: cis-muurol-5-en-4-betalpha-ol The following was not parseable: muurol-5-en-4-betalpha-ol
"cis-muurola-3,5-diene",,NA,,"cis-muurola-3,5-diene'' is unparsable due to the following being uninterpretable: ''cis-muurola-3,5-diene'' The following was not parseable: ''cis-muurola-3,5-diene''"
"cis-muurola-4(15),5-diene",,NA,,"cis-muurola-4(15),5-diene'' is unparsable due to the following being uninterpretable: ''cis-muurola-4(15),5-diene'' The following was not parseable: ''cis-muurola-4(15),5-diene''"
"cis-p-mentha-1,8-dien-6-ol",,NA,,"cis-p-mentha-1,8-dien-6-ol'' is unparsable due to the following being uninterpretable: ''cis-p-mentha-1,8-dien-6-ol'' The following was not parseable: ''cis-p-mentha-1,8-dien-6-ol''"
"cis-p-mentha-1(7),8-dien-2-ol",,NA,,"cis-p-mentha-1(7),8-dien-2-ol'' is unparsable due to the following being uninterpretable: ''cis-p-mentha-1(7),8-dien-2-ol'' The following was not parseable: ''cis-p-mentha-1(7),8-dien-2-ol''"
"cis-p-mentha-2,8-dien-1-ol",,NA,,"cis-p-mentha-2,8-dien-1-ol'' is unparsable due to the following being uninterpretable: ''cis-p-mentha-2,8-dien-1-ol'' The following was not parseable: ''cis-p-mentha-2,8-dien-1-ol''"
cis-pelemenone,,NA,,cis-pelemenone is unparsable due to the following being uninterpretable: cis-pelemenone The following was not parseable: pelemenone
cis-pinocamphone,,NA,,cis-pinocamphone is unparsable due to the following being uninterpretable: cis-pinocamphone The following was not parseable: camphone
citralc,,NA,,citralc is unparsable due to the following being uninterpretable: c The following was not parseable: c
cubenen-11-ol,,NA,,Could not find the atom with locant 11.
Cymene-8-ol,,NA,,Could not find the atom with locant 8.
"dehydro-1,8-cineole",,NA,,"dehydro-1,8-cineole'' is unparsable due to the following being uninterpretable: ''dehydro-1,8-cineole'' The following was not parseable: ''dehydro-1,8-cineole''"
dehydro-sabinaketone,,NA,,dehydro-sabinaketone is unparsable due to the following being uninterpretable: sabinaketone The following was not parseable: sabinaketone
dehydro-sabinene,,NA,,dehydro-sabinene is unparsable due to the following being uninterpretable: sabinene The following was not parseable: sabinene
dehydroisocalamendiol,,NA,,dehydroisocalamendiol is unparsable due to the following being uninterpretable: isocalamendiol The following was not parseable: calamendiol
delta-2-carene,,NA,,Unable to assign all locants. This locant was not assigned: delta
delta-cardinene,,NA,,delta-cardinene is unparsable due to the following being uninterpretable: delta-cardinene The following was not parseable: nene
delta-cymene,,NA,,Unable to assign all locants. This locant was not assigned: delta
delta-muurolene,,NA,,delta-muurolene is unparsable due to the following being uninterpretable: delta-muurolene The following was not parseable: muurolene
delta-pinene,,NA,,Unable to assign all locants. This locant was not assigned: delta
devanone,,NA,,devanone is unparsable due to the following being uninterpretable: devanone The following was not parseable: evanone
di-epi-alpha-cedrene,,NA,,di-epi-alpha-cedrene is unparsable due to the following being uninterpretable: di-epi-alpha-cedrene The following was not parseable: pi-alpha-cedrene
dihydrochalcone isomer,,NA,,dihydrochalcone isomer is unparsable due to the following being uninterpretable: isomer The following was not parseable: mer
dihydroedulan,,NA,,dihydroedulan is unparsable due to the following being uninterpretable: edulan The following was not parseable: edulan
dihydroencecaline,,NA,,dihydroencecaline is unparsable due to the following being uninterpretable: encecaline The following was not parseable: encecaline
dihydroisochromolaenin,,NA,,dihydroisochromolaenin is unparsable due to the following being uninterpretable: isochromolaenin The following was not parseable: chromolaenin
dimethoxyencecalin,,NA,,dimethoxyencecalin is unparsable due to the following being uninterpretable: encecalin The following was not parseable: encecalin
diterpenes,,NA,,diterpenes is unparsable due to the following being uninterpretable: diterpenes The following was not parseable: penes
e-2-undecenol,,NA,"InChI=1/C11H22O/c1-2-3-4-5-6-7-8-9-10-11-12/h9-10,12H,2-8,11H2,1H3/b10-9+",
elemol/hedycaryol,,NA,,elemol/hedycaryol is unparsable due to the following being uninterpretable: elemol/hedycaryol The following was not parseable: lemol/hedycaryol
epi-1-cubenol,,NA,,epi-1-cubenol is unparsable due to the following being uninterpretable: epi-1-cubenol The following was not parseable: pi-1-cubenol
epi-alpha-bisabolol,,NA,,epi-alpha-bisabolol is unparsable due to the following being uninterpretable: epi-alpha-bisabolol The following was not parseable: pi-alpha-bisabolol
epi-zonarene,,NA,,epi-zonarene is unparsable due to the following being uninterpretable: epi-zonarene The following was not parseable: pi-zonarene
epoxy-allo-aromadendrene,,NA,,epoxy-allo-aromadendrene is unparsable due to the following being uninterpretable: allo-aromadendrene The following was not parseable: aromadendrene
"eremophila-1(10),8,1-triene",,NA,,"eremophila-1(10),8,1-triene'' is unparsable due to the following being uninterpretable: ''eremophila-1(10),8,1-triene'' The following was not parseable: ''eremophila-1(10),8,1-triene''"
ethyl hydroquinone,,NA,"InChI=1/C8H10O2/c1-2-6-5-7(9)3-4-8(6)10/h3-5,9-10H,2H2,1H3",
ethyl-9-hexadecenoated,,NA,,ethyl-9-hexadecenoated is unparsable due to the following being uninterpretable: d The following was not parseable: d
"eudesma-4(15),7-dien-4-beta-ol",,NA,,"eudesma-4(15),7-dien-4-beta-ol'' is unparsable due to the following being uninterpretable: ''eudesma-4(15),7-dien-4-beta-ol'' The following was not parseable: ''eudesma-4(15),7-dien-4-beta-ol''"
eudesmol,,NA,,eudesmol is unparsable due to the following being uninterpretable: eudesmol The following was not parseable: udesmol
exo-2-hydroxycineoleacetate,,NA,,exo-2-hydroxycineoleacetate is unparsable due to the following being uninterpretable: cineoleacetate The following was not parseable: cineoleacetate
fenchene,,NA,,fenchene is unparsable due to the following being uninterpretable: fenchene The following was not parseable: fenchene
furanoid,,NA,,furanoid is unparsable due to the following being uninterpretable: oid The following was not parseable:
furapelargone a,,NA,,furapelargone a is unparsable due to the following being uninterpretable: furapelargone a The following was not parseable: apelargone a
gamma-amorphene,,NA,,gamma-amorphene is unparsable due to the following being uninterpretable: gamma-amorphene The following was not parseable: amorphene
gamma-dehydro-ar-himachalene,,NA,,gamma-dehydro-ar-himachalene is unparsable due to the following being uninterpretable: ar-himachalene The following was not parseable: ar-himachalene
gamma-epi-eudesmol,,NA,,gamma-epi-eudesmol is unparsable due to the following being uninterpretable: gamma-epi-eudesmol The following was not parseable: pi-eudesmol
gamma-sudesmol,,NA,,gamma-sudesmol is unparsable due to the following being uninterpretable: gamma-sudesmol The following was not parseable: sudesmol
garanate,,NA,,garanate is unparsable due to the following being uninterpretable: garanate The following was not parseable: garanate
geranyl-2-methylbutyrate,,NA,"InChI=1/C15H26O2/c1-6-14(5)15(16)17-11-10-13(4)9-7-8-12(2)3/h8,10,14H,6-7,9,11H2,1-5H3/b13-10+",
