"","clean_name","original_name","Compound_identifier","cid"
"6748","sabinene+beta-pinene","sabinene+beta-pinene","C6289",NA
"6749","sabinine","sabinine","C6291",NA
"6750","sabinol","sabinol","C7045",94147
"6751","sabinyl-2-methylbutyrate","sabinyl-2-methylbutyrate","C7046",NA
"6752","sabinyl acetate","sabinylÂ acetate","C6294",94266
"6753","sabinyl acetate","sabinylÂ acetate","C6294",94266
"6754","sabinyl acetate","sabinyl acetate","C6292",94266
"6755","sabinyl acetate","sabinyl acetate","C6292",94266
"6756","sabinyl isovalerate","sabinyl isovalerate","C6293",NA
"6757","safranal","safranal","C6295",61041
"6758","safrol","safrol","C6296",5144
"6759","safrole","safrole","C7047",5144
"6760","salicyaldehyde","salicyaldehyde","C6297",NA
"6761","salicyladehyde","salicyladehyde","C6298",6998
"6762","salicylaldehyde","salicylaldehyde","C7048",6998
"6763","salicylic acid","salicylic acid","C6299",338
"6764","salinene","salinene","C6300",NA
"6765","salival-4-(14)-en-1-one","salival-4-(14)-en-1-one","C6301",NA
"6766","salival-4(14)-en-1-one","salival-4(14)-en-1-one","C6302",NA
"6767","salvene","salvene","C6303",6429324
"6768","salvia-4(14)-en-1-one","salvia-4(14)-en-1-one","C6304",NA
"6769","salviadienol","salviadienol","C6305",91753726
"6770","salvial-4(14)-en-1-ol","salvial-4(14)-en-1-ol","C6306",NA
"6771","salvial-4(14)-en-1-on","salvialâ€”4(14)-en-1-on","C6309",NA
"6772","salvial-4(14)-en-1-one","salvial-4(14)-en-1-one","C7049",42608172
"6773","salvial-4(14)-en-1-one","salvial-4(14)-en-1-one","C7049",42608172
"6774","salvial-4(14)-en-1-one","salvial – 4 (14) – en – 1 – one","C6308",42608172
"6775","salvial-4(14)-en-1-one","salvial – 4 (14) – en – 1 – one","C6308",42608172
"6776","salvial-4(14) en-1-one","salvial-4(14) en-1-one","C6307",NA
"6777","sandaracopimara-8(14),15-diene","sandaracopimara-8(14),15-diene","C7050",NA
"6778","sandaracopimara-8(14),15 diene","sandaracopimara-8(14),15 diene","C6310",NA
"6779","sandaracopimaradiene","sandaracopimaradiene","C6311",440909
"6780","sandaracopimarinal","sandaracopimarinal","C6312",620819
"6781","sandaracopimarinol","sandaracopimarinol","C6313",12314286
"6782","sanderacopamira-8(14),15-diene","sanderacopamira-8(14),15-diene","C6314",NA
"6783","sandoracopimar-15-en-8beta-ylacetate","sandoracopimar-15-en-8beta-ylacetate","C6315",NA
"6784","sanina ketone","sanina ketone","C6316",NA
"6785","santalene","santalene","C6317",94164
"6786","santalene stereoisomer","santalene stereoisomer","C6318",NA
"6787","santalinatriene","santalinatriene","C6319",NA
"6788","santalinylacetate","santalinylacetate","C6320",NA
"6789","santalone","santalone","C6321",71438766
"6790","santene","santene","C6322",10720
"6791","santolina alcohol","santolina alcohol","C6323",519843
"6792","santolina triene","santolina triene","C7051",519872
"6793","santolinatriene","santolinatriene","C7052",NA
"6794","santolinetriene","santolinetriene","C6324",NA
"6795","santolinyl acetate","santolinyl acetate","C7053",21630872
"6796","santolinylacetate","santolinylacetate","C6325",NA
"6797","sapthulenol","sapthulenol","C7054",NA
"6798","sativene","sativene","C6326",11830550
"6799","satrol","satrol","C6327",NA
"6800","savial-4(14)-en-1-one","savial-4(14)-en-1-one","C6328",91747416
"6801","scadinene","scadinene","C6329",NA
"6802","scapanol","scapanol","C6330",NA
"6803","sclarene","sclarene","C6331",11323257
"6804","sclareol","sclareol","C7055",163263
"6805","sclareol oxide","sclareol oxide","C6332",7057250
"6806","sclareoloxide","sclareoloxide","C6333",NA
"6807","sec-butylbutyrate","sec-butylbutyrate","C6334",NA
"6808","sec-butylisothiocyanate","sec-butylisothiocyanate","C6335",78151
"6809","sec-octyhexanoate","sec-octyhexanoate","C6336",NA
"6810","sec-octylacetate","sec-octylacetate","C6337",NA
"6811","sedanenolide","sedanenolide","C6338",3085257
"6812","sedanolide","sedanolide","C6339",5018391
"6813","selenine derivative","selenine derivative","C7056",NA
"6814","selin-11-4-alpha-ol","selin-11-4-alpha-ol","C6340",NA
"6815","selin-11-en-4-alpha-ol","selin-11-en-4-alpha-ol","C7057",NA
"6816","selin-11-en-4-ol","selin-11-en-4-ol","C6342",6428433
"6817","selin-11-en-4 alpha-ol","selin-11-en-4 alpha-ol","C6343",NA
"6818","selin-11-en-4a–o1","selin-11-en-4aâ€“o1","C6344",NA
"6819","selin-11-en-4alpha-ol","selin-11-en-4alpha-ol","C6345",NA
"6820","Selin-11-en-4alpha-ol","Selin-11-en--4alpha-ol","C6341",15560330
"6821","selin-3,7(11)-diene","selin-3,7(11)-diene","C6346",NA
"6822","selin-7(11)-en-4-alpha-ol","selin-7(11)-en-4-alpha-ol","C6347",NA
"6823","selin-7(11)-en-4-ol","selin-7(11)-en-4-ol","C6348",NA
"6824","selina-11-en-4-alpha-ol","selina-11-en-4-alpha-ol","C6349",NA
"6825","selina-3,11-dien-6-alpha-ol","selina-3,11-dien-6-alpha-ol","C6350",NA
"6826","selina-3,11-dien-6alpha-ol","selina-3,11-dien-6alpha-ol","C6351",NA
"6827","selina-3,11-diene +bicyclogermacrene","selina-3,11-diene +bicyclogermacrene","C6352",NA
"6828","selina-3,5(11)-diene","selina-3,5(11)-diene","C6353",NA
"6829","selina-3,7(11)-dien","selina-3,7(11)-dien","C6354",NA
"6830","selina-3,7(11)-diene","selina-3,7(11)-diene","C7058",NA
"6831","selina-3,7(11)diene","selina-3,7(11)diene","C6355",NA
"6832","selina-4-11-diene","selina-4-11-diene","C6356",NA
"6833","selina-4(15),6-diene","selina-4(15),6-diene","C6357",NA
"6834","selina-4(15),7(11)-dien-8-one","selina-4(15),7(11)-dien-8-one","C6358",NA
"6835","selina-4,11-diene","selina-4,11-diene","C7059",NA
"6836","selina-4,7-diene","selina-4,7-diene","C6359",NA
"6837","selina-4,7( 11)-diene","selina-4,7( 11)-diene","C6360",NA
"6838","selina-4.11-diene","selina-4.11-diene","C6361",NA
"6839","selina-5,11-diene","selina-5,11-diene","C6362",NA
"6840","selina-6-en-4-ol","selina-6-en-4-ol","C6363",527220
"6841","selinadiene alcohol-ms c15h26o","selinadiene alcohol-ms c15h26o","C6364",NA
"6842","selinalpha-1,3,7(11)-trien-8-one","selinalpha-1,3,7(11)-trien-8-one","C6365",NA
"6843","selinalpha-1,3,7(11)-trien-8-one epoxide","selinalpha-1,3,7(11)-trien-8-one epoxide","C6366",NA
"6844","selinalpha-1,4-diene","selinalpha-1,4-diene","C6367",NA
"6845","selinalpha-3,11-dien-6-alpha-ol","selinalpha-3,11-dien-6-alpha-ol","C6368",NA
"6846","selinalpha-3,7(11)-diene","selinalpha-3,7(11)-diene","C6369",NA
"6847","selinalpha-3.7(11)-diene","selinalpha-3.7(11)-diene","C6370",NA
"6848","selinalpha-4(14),7(11)-diene","selinalpha-4(14),7(11)-diene","C6371",NA
"6849","selinalpha-4,11-diene","selinalpha-4,11-diene","C6372",NA
"6850","selinalpha-4,11-diene (4,11-eudesmadiene)","selinalpha-4,11-diene (4,11-eudesmadiene)","C6373",NA
"6851","selinalpha-4,7-diene","selinalpha-4,7-diene","C6374",NA
"6852","selinalpha-4,7(11)-diene","selinalpha-4,7(11)-diene","C6375",NA
"6853","selinalpha-5,11-diene","selinalpha-5,11-diene","C6376",NA
"6854","selinene","selinene","C6377",NA
"6855","selinenol","selinenol","C6378",6432005
"6856","semperulol","semperulol","C6379",NA
"6857","senkyunolide","senkyunolide","C7060",3085257
"6858","sesamol","sesamol","C6380",68289
"6859","seselin","seselin","C6381",68229
"6860","sesquicineole","sesquicineole","C6382",341779
"6861","sesquiphellandrene","sesquiphellandrene","C6383",519764
"6862","sesquiphellendrene","sesquiphellendrene","C7061",NA
"6863","sesquirosefuran","sesquirosefuran","C6384",5366078
"6864","sesquisabinene","sesquisabinene","C6385",25202482
"6865","sesquisabinene hydrate","sesquisabinene hydrate","C6386",20055539
"6866","Sesquiterpene","Sesquiterpene","C6387",6473767
"6867","Sesquiterpene alcohol","Sesquiterpene alcohol","C7062",NA
"6868","sesquiterpene hydrocarbon","sesquiterpene hydrocarbon","C6388",NA
"6869","sesquiterpene hydrocarbons","sesquiterpene hydrocarbons","C7063",NA
"6870","sesquiterpene oxygenated","sesquiterpene oxygenated","C6389",NA
"6871","sesquiterpenol","sesquiterpenol","C6390",NA
"6872","sesquithujene","sesquithujene","C6391",53359349
"6873","sesquithuriferol","sesquithuriferol","C6392",91750097
"6874","seudenone","seudenone","C6393",14511
"6875","seychelene","seychelene","C6394",NA
"6876","seychellene","seychellene","C7064",519743
"6877","sh1","sh1","C6395",24794391
"6878","sh2","sh2","C6396",72943177
"6879","sh3","sh3","C6397",73010392
"6880","sh4","sh4","C6398",5289359
"6881","shisofuran","shisofuran","C6399",NA
"6882","shisol","shisol","C6400",NA
"6883","shybunol","shybunol","C7065",NA
"6884","shyobinol","shyobinol","C6401",NA
"6885","shyobunol","shyobunol","C6402",520758
"6886","shyobunone","shyobunone","C6403",5321293
"6887","shyobunone isomer","shyobunone isomer","C6404",NA
"6888","shyobunone+alpha-selinene","shyobunone+alpha-selinene","C6405",NA
"6889","sibirene","sibirene","C6406",14167644
"6890","sigma-cadinene","sigma-cadinene","C6407",NA
"6891","sigma-elemene","sigma-elemene","C6408",NA
"6892","sigma-gurjunene","sigma-gurjunene","C6409",NA
"6893","sigma-muurolene","sigma-muurolene","C6410",NA
"6894","sigma-terpinene","sigma-terpinene","C6411",NA
"6895","silphin-1-ene","silphin-1-ene","C6412",13919649
"6896","silphinene","silphinene","C6413",44567200
"6897","silphiperfol-4,7(14)-diene","silphiperfol-4,7(14)-diene","C6414",NA
"6898","silphiperfol-5-en-3-ol-one","silphiperfol-5-en-3-ol-one","C6415",NA
"6899","silphiperfol-5-en-3-ol a","silphiperfol-5-en-3-ol a","C6416",91747331
"6900","silphiperfol-5-en-3-ol b","silphiperfol-5-en-3-ol b","C6417",91747332
"6901","silphiperfol-5-en-3-ol d","silphiperfol-5-en-3-ol d","C6418",NA
"6902","silphiperfol-5-ene","silphiperfol-5-ene","C6419",NA
"6903","silphiperfol-5-one-3-ol a","silphiperfol-5-one-3-ol a","C6420",NA
"6904","silphiperfol-6-en-5-one","silphiperfol-6-en-5-one","C6421",91750907
"6905","silphiperfol-6-ene","silphiperfol-6-ene","C6422",91747320
"6906","silphiperfola-5,7(14)-diene","silphiperfola-5,7(14)-diene","C6423",NA
"6907","silphiperfolan-6-alpha-ol","silphiperfolan-6-alpha-ol","C6424",NA
"6908","silphiperfolan-6-beta-ol","silphiperfolan-6-beta-ol","C6425",NA
"6909","silphiperfolan-6-ol","silphiperfolan-6-ol","C6426",NA
"6910","silphiperfolan-6alpha-ol","silphiperfolan-6alpha-ol","C6427",NA
"6911","silphiperfolan-6beta-ol","silphiperfolan-6beta-ol","C6428",NA
"6912","silphiperfolan-7-beta-ol","silphiperfolan-7-beta-ol","C6429",NA
"6913","silphiperfolan-7beta-ol","silphiperfolan-7beta-ol","C6430",NA
"6914","siphiperfol-5-en-3-ol","siphiperfol-5-en-3-ol","C6431",NA
"6915","siphiperfol-5-en-3-one","siphiperfol-5-en-3-one","C6432",NA
"6916","siphiperfol-6-en-5-one","siphiperfol-6-en-5-one","C6433",NA
"6917","solanone","solanone","C6434",6451337
"6918","sopimara-9(11),15-diene","sopimara-9(11),15-diene","C6435",NA
"6919","spathulenol","spathulenol","C7066",92231
"6920","spathulenol+germacrene delta-4-ol","spathulenol+germacrene delta-4-ol","C7067",NA
"6921","spathulenoll","spathulenoll","C6436",NA
"6922","spathulinol","spathulinol","C6437",NA
"6923","spathunenol","spathunenol","C6438",NA
"6924","spatulenol","spatulenol","C6439",92231
"6925","spilanthol","spilanthol","C6440",5353001
"6926","spiro(2.5)octane","spiro(2.5)octane","C6441",135988
"6927","spirosantalol","spirosantalol","C6442",NA
"6928","squalene","squalene","C6443",638072
"6929","stearamide","stearamide","C6444",31292
"6930","stearic acid","stearic acid","C6445",5281
"6931","stigmast-5-en-3beta-ol","stigmast-5-en-3beta-ol","C6446",222284
"6932","stigmast-5,22-dien-3beta-ol","stigmast-5,22-dien-3beta-ol","C6447",NA
"6933","stigmastan-3,5-diene","stigmastan-3,5-diene","C6448",NA
"6934","styrallyl alcohol","styrallyl alcohol","C6449",7409
"6935","styrene","styrene","C6450",7501
"6936","suberosin","suberosin","C6451",68486
"6937","sylvestrene","sylvestrene","C6452",12304570
"6938","t-cadinol","t-cadinol","C7070",160799
"6939","t-muurolol","t-muurolol*","C6454",3084331
"6940","t-muurolol","t-muurolol*","C6454",3084331
"6941","t-muurolol","t-muurolol","C6453",3084331
"6942","t-muurolol","t-muurolol","C6453",3084331
"6943","t-nerolidol","t-nerolidol","C6455",NA
"6944","tatarol","tatarol","C6456",NA
"6945","tau-4-dimethylbenzene butanal","tau-4-dimethylbenzene butanal","C6457",NA
"6946","tau-cadinene","tau-cadinene","C6458",NA
"6947","tau-cadinol","tau-cadinol","C7068",160799
"6948","tau-cadinol + tau-muurolol","tau-cadinol + tau-muurolol","C6459",NA
"6949","tau-muurolol","tau-muurolol","C7069",NA
"6950","teferdine","teferdine","C6460",389015
"6951","tepinolene","tepinolene","C7071",NA
"6952","teresantalal","teresantalal","C6461",85861298
"6953","terpenen-4-ol","terpenen-4-ol","C6462",NA
"6954","terpenyl acetate","terpenyl acetate","C6463",111037
"6955","terpenylacetate","terpenylacetate","C6464",NA
"6956","terpin-4-ol","terpin-4-ol","C7072",11230
"6957","terpin-4-ol","terpin-4-ol","C7072",11230
"6958","terpin-4-ol","terpin -4- ol","C6465",11230
"6959","terpin-4-ol","terpin -4- ol","C6465",11230
"6960","terpinan-4-ol","terpinan-4-ol","C6466",NA
"6961","terpine-4-ol","terpine-4-ol","C6467",NA
"6962","terpinelene","terpinelene","C6468",NA
"6963","terpinelyl-acetate","terpinelyl-acetate","C6469",NA
"6964","terpinen-1-ol","terpinen-1-ol","C7073",11468
"6965","terpinen-4-ol","terpinen -4-ol","C6478",11230
"6966","terpinen-4-ol","terpinen -4-ol","C6478",11230
"6967","terpinen-4-ol","terpinen-4-ol","C7074",11230
"6968","terpinen-4-ol","terpinen-4-ol","C7074",11230
"6969","terpinen-4-ol-acetate","terpinen-4-ol-acetate","C6470",NA
"6970","terpinen-4-ol +p-cymen-8-ol","terpinen-4-ol +p-cymen-8-ol","C6471",NA
"6971","terpinen-4-ol acetate","terpinen-4-ol acetate","C7075",68749986
"6972","terpinen-4-ol*","terpinen-4-ol*","C6472",NA
"6973","terpinen-4-ol+beta-caryophyllene","terpinen-4-ol+beta-caryophyllene","C6473",NA
"6974","terpinen-4-ol+cis-sabinene hydrate","terpinen-4-ol+cis-sabinene hydrate","C6474",NA
"6975","terpinen-4-yl-acetate","terpinen-4-yl-acetate","C7076",NA
"6976","terpinen-4-yl acetate","terpinen-4-yl acetate","C6475",20960
"6977","terpinen-4 ol","terpinen-4 ol","C6476",NA
"6978","terpinen-4ol","terpinen-4ol","C6477",NA
"6979","terpinene","terpinene","C6479",NA
"6980","terpinene-1-ol","terpinene-1-ol","C6480",NA
"6981","terpinene-4-ol","terpinene-4-ol","C7077",11230
"6982","terpinene-4-yl acetate","terpinene-4-yl acetate","C6481",20960
"6983","terpinene 4-ol","terpinene 4-ol","C6482",NA
"6984","terpineol","terpineol","C6483",17100
"6985","terpineol-4","terpineol-4","C6484",11230
"6986","terpinolen","terpinolen","C6485",11463
"6987","terpinolene","terpinolene","C7078",11463
"6988","terpinolene+2-nonanone","terpinolene+2-nonanone","C6486",NA
"6989","terpinolene+p-cymenene","terpinolene+p-cymenene","C7079",NA
"6990","terpinolene+trans-linalooloxide","terpinolene+trans-linalooloxide","C6487",NA
"6991","terpinolene+trans-linalooloxide (furanoid)","terpinolene+trans-linalooloxide (furanoid)","C6488",NA
"6992","terpinolenec","terpinolenec","C6489",NA
"6993","terpinoloene","terpinoloene","C6490",NA
"6994","terpinyl-4-yl-acetate","terpinyl-4-yl-acetate","C6491",NA
"6995","terpinyl acetate","terpinyl acetate","C6492",NA
"6996","terpinylacetate","terpinylacetate","C6493",NA
"6997","terpinylacetate a","terpinylacetate a","C6494",NA
"6998","terplnen-4-ol","terplnen-4-ol","C6495",NA
"6999","terpnen-4-ol","terpnen-4-ol","C6496",NA
"7000","tert-muurolol","tert-muurolol","C6497",NA
"7001","tertradecanal","tertradecanal","C6498",NA
"7002","tertradecane","tertradecane","C6499",NA
"7003","tetrachloroethylene","tetrachloroethylene","C6500",31373
"7004","tetracontane","tetracontane","C6501",20149
"7005","tetracosane","tetracosane","C7080",12592
"7006","tetracosanol","tetracosanol","C6502",10472
"7007","tetracosene","tetracosene","C6503",82436
"7008","tetracyclo [6.3.2.0 (2,5) .0 (1,","tetracyclo [6.3.2.0 (2,5) .0 (1,","C6504",NA
"7009","tetradecanal","tetradecanal","C7081",31291
"7010","tetradecane","tetradecane","C7082",12389
"7011","tetradecanoic acid","tetradecanoicÂ acid","C6505",11005
"7012","tetradecanoic acid","tetradecanoicÂ acid","C6505",11005
"7013","tetradecanoic acid","tetradecanoic acid","C7083",11005
"7014","tetradecanoic acid","tetradecanoic acid","C7083",11005
"7015","tetradecanol","tetradecanol","C7084",8209
"7016","tetradecene","tetradecene","C6506",14260
"7017","tetradecyl acetate","tetradecyl acetate","C6507",12531
"7018","tetrahydro-2h-pyran-2-one","tetrahydro-2h-pyran-2-one","C6508",10953
"7019","tetrahydro lavandulol acetate","tetrahydro lavandulol acetate","C6509",NA
"7020","tetrahydro tetramethylnaphthalene","tetrahydro tetramethylnaphthalene","C7085",NA
"7021","tetrahydroaplotaxene","tetrahydroaplotaxene","C6510",11413696
"7022","tetrahydrofuran","tetrahydrofuran","C6511",8028
"7023","tetrahydrolinalool","tetrahydrolinalool","C6512",6548
"7024","tetramethylphenol","tetramethylphenol","C6513",NA
"7025","tetratriacontane","tetratriacontane","C6514",26519
"7026","theaspirane a","theaspirane a","C6515",61953
"7027","theaspirane b","theaspirane b","C7086",61953
"7028","thianthrene","thianthrene","C6516",7109
"7029","thiobenzoic acid","thiobenzoic acid","C6517",7414
"7030","thuj-2-en-4-ol","thuj-2-en-4-ol","C6519",NA
"7031","thuj-2,4(10)-diene","thuj-2,4(10)-diene","C6520",NA
"7032","thuj-3-en-1-al","thuj-3-en-1-al","C6521",NA
"7033","thuj-3-en-10-a1","thuj-3-en-10-a1","C6522",NA
"7034","thuj-3-en-10-al","thuj-3-en-10-al","C6523",NA
"7035","thuj-3-en-10-al","thuj- 3 -en 10-al","C6518",NA
"7036","thuj-3-en-10-al+cryptone","thuj-3-en-10-al+cryptone","C6524",NA
"7037","thuj-3-en-10 al","thuj-3-en-10 al","C6525",NA
"7038","thuja-2,4-diene","thuja-2,4-diene","C6526",NA
"7039","thuja-2,4 (10)-diene","thuja-2,4 (10)-diene","C6527",NA
"7040","thuja-2,4(10)-dien","thuja-2,4(10)-dien","C6528",NA
"7041","thuja-2,4(10)-diene","thuja-2,4(10)-diene","C7087",NA
"7042","thuja-3,4(10)-diene","thuja-3,4(10)-diene","C6529",NA
"7043","thuja 2,4 (10)-diene","thuja 2,4 (10)-diene","C6530",NA
"7044","thuja 2,4(10)-diene","thuja 2,4(10)-diene","C6531",NA
"7045","thuja ketone","thuja ketone","C6532",NA
"7046","thujalpha-2,4-(10)-diene","thujalpha-2,4-(10)-diene","C6533",NA
"7047","thujalpha-2,4 (10)-diene","thujalpha-2,4 (10)-diene","C6534",NA
"7048","thujalpha-2,4(10)-diene","thujalpha-2,4(10)-diene","C6535",NA
"7049","thujanol","thujanol","C6536",10550
"7050","thujanol acetate","thujanol acetate","C6537",NA
"7051","thujene","thujene","C7088",520384
"7052","thujol","thujol","C6538",10550
"7053","thujone","thujone","C6539",261491
"7054","thujopsadiene","thujopsadiene","C6540",6428961
"7055","thujopsan-2-alpha-ol","thujopsan-2-alpha-ol","C6541",NA
"7056","thujopsene","thujopsene","C7089",442402
"7057","thujopsene + myrtenal","thujopsene + myrtenal","C6542",NA
"7058","thujyl alcohol","thujyl alcohol","C7090",10550
"7059","thunbergol","thunbergol","C6543",5363523
"7060","thymal acetate","thymal acetate","C6544",NA
"7061","thymohydroquinone","thymohydroquinone","C7091",95779
"7062","thymohydroquinone dimethylether","thymohydroquinone dimethylether","C6545",NA
"7063","thymol","thymol","C7092",6989
"7064","thymol + cuminol","thymolÂ +Â cuminol","C6553",NA
"7065","thymol acetate","thymol acetate","C7093",68252
"7066","thymol acetate","thymol acetate","C7093",68252
"7067","thymol acetate","thymolÂ acetate","C6554",68252
"7068","thymol acetate","thymolÂ acetate","C6554",68252
"7069","thymol derivatives","thymol derivatives","C6546",NA
"7070","thymol hydroquinone methylether","thymol hydroquinone methylether","C6547",NA
"7071","thymol isobutyrate","thymol isobutyrate","C6548",228738
"7072","thymol methyl ether","thymolÂ methylÂ ether","C6555",14104
"7073","thymol methyl ether","thymolÂ methylÂ ether","C6555",14104
"7074","thymol methyl ether","thymol methyl ether","C7094",14104
"7075","thymol methyl ether","thymol methyl ether","C7094",14104
"7076","thymol methylether","thymol methylether","C6549",NA
"7077","thymol nethyl ether","thymol nethyl ether","C6550",NA
"7078","thymol, methyl ether","thymol, methyl ether","C6551",NA
"7079","thymol, methylether","thymol, methylether","C6552",NA
"7080","thymonquinone","thymonquinone","C6556",NA
"7081","thymoquinol dimethylether","thymoquinol dimethylether","C6557",6427071
"7082","thymoquinone","thymoquinone","C7095",10281
"7083","thymoquinone isomer","thymoquinoneÂ isomer","C6558",NA
"7084","thymyl-2-methylbutyrate","thymyl-2-methylbutyrate","C7097",NA
"7085","thymyl acetate","thymyl acetate","C7096",68252
"7086","thymyl angelate","thymyl angelate","C6559",NA
"7087","thymyl isobutyrate","thymyl isobutyrate","C6560",228738
"7088","thymyl isovalerate","thymyl isovalerate","C6561",155224
"7089","thymyl methacrylate","thymyl methacrylate","C6562",91751360
"7090","thymyl methylether","thymyl methylether","C6563",NA
"7091","thymyl methyloxide","thymyl methyloxide","C6564",NA
"7092","thymyl tiglate","thymyl tiglate","C6565",NA
"7093","tiglic acid","tiglic acid","C6566",125468
"7094","timonene","timonene","C6567",NA
"7095","tircosane","tircosane","C6568",NA
"7096","tircyclene","tircyclene","C6569",NA
"7097","tolualdehyde","tolualdehyde","C6570",NA
"7098","toluene","toluene","C6571",1140
"7099","tolune","tolune","C6572",NA
"7100","torilenol","torilenol","C7098",91747180
"7101","torpinolene","torpinolene","C6573",NA
"7102","torquatone","torquatone","C6574",256516
"7103","torreyol","torreyol","C6575",11990360
"7104","torulosol","torulosol","C6576",349315
"7105","totarene","totarene","C6577",NA
"7106","traces","traces","C6578",NA
"7107","tran-alpha-bergamotene","tran-alpha-bergamotene","C6579",NA
"7108","trana-pinocarveol","trana-pinocarveol","C6580",NA
"7109","trans-(Z)-alpha-bisabolene epoxide","trans-(z)-alpha-bisabolene epoxide","C6582",NA
"7110","trans-(Z)-alpha-bisaboleneepoxide","trans-(z)-alpha-bisaboleneepoxide","C6583",NA
"7111","trans-1-methyl-3-isopropyl-cyclopentane","trans-1-methyl-3-isopropyl-cyclopentane","C6584",NA
"7112","trans-1-methyl-4-(1-methylethenyl) cyclohexane (trans-1,2-dihydrolimonene)","trans-1-methyl-4-(1-methylethenyl) cyclohexane (trans-1,2-dihydrolimonene)","C6585",NA
"7113","trans-1,2-limonene epoxide","trans-1,2-limonene epoxide","C6586",NA
"7114","trans-2-dodecenal","trans-2-dodecenal","C6587",5283361
"7115","trans-2-hexenal","trans-2-hexenal","C6588",5281168
"7116","trans-2-methyl-3-methylene-5-heptene","trans-2-methyl-3-methylene-5-heptene","C6589",NA
"7117","trans-2-methyl-3-methylenehept-5-ene","trans-2-methyl-3-methylenehept-5-ene","C6590",6429324
"7118","trans-2-methyl-3-methylenehept-5-one","trans-2-methyl-3-methylenehept-5-one","C6591",NA
"7119","trans-2-pentylcyclopropane-1-carboxylic acid","trans-2-pentylcyclopropane-1-carboxylic acid","C6592",NA
"7120","trans-2-undecenal","trans-2-undecenal","C6593",5283356
"7121","trans-2 hexenol","trans-2 hexenol","C6594",NA
"7122","trans-2,3-pinanediol","trans-2,3-pinanediol","C6595",NA
"7123","trans-2,4-decadienal","trans-2,4-decadienal","C6596",NA
"7124","trans-3-caren-2-ol","trans-3-caren-2-ol","C6597",576906
"7125","trans-4-thujanol","trans-4-thujanol","C6598",12315149
"7126","trans-4,10-epoxy-amorphane","trans-4,10-epoxy-amorphane","C6599",NA
"7127","trans-6,11-dimethyl-3, 8-oxomethane-bicyclo-(6,3,0) undecalpha-4.6-diene","trans-6,11-dimethyl-3, 8-oxomethane-bicyclo-(6,3,0) undecalpha-4.6-diene","C6600",NA
"7128","trans-a-bergamotene","trans-a-bergamotene","C7101",NA
"7129","trans-abienol","trans-abienol","C6601",643003
"7130","trans-allo-ocimene","trans-allo-ocimene","C6602",5368821
"7131","trans-alpha-bergamatol","trans-alpha-bergamatol","C6603",NA
"7132","trans-alpha-bergamotene","trans-alpha-bergamotene","C7102",NA
"7133","trans-alpha-Bergamotene","trans- alpha-Bergamotene","C6581",6429302
"7134","trans-alpha-bergamotene + p-caryophyllene","trans-alpha-bergamotene + p-caryophyllene","C6604",NA
"7135","trans-alpha-bergamotol","trans-alpha-bergamotol","C6605",NA
"7136","trans-alpha-bergamotol acetate","trans-alpha-bergamotol acetate","C6606",NA
"7137","trans-alpha-bisabolene","trans-alpha-bisabolene","C7103",24798703
"7138","trans-alpha-farnesene","trans-alpha-farnesene","C6607",NA
"7139","trans-alpha-ionene","trans-alpha-ionene","C6608",NA
"7140","trans-alpha-necrodyl acetate","trans-alpha-necrodyl acetate","C6609",NA
"7141","trans-alpha-santalol","trans-alpha-santalol","C6610",NA
"7142","trans-alpha bergamotene","trans-alpha bergamotene","C6611",NA
"7143","trans-anethole","trans-anethole","C6612",637563
"7144","trans-anhydrolinalool oxide","trans-anhydrolinalool oxide","C6613",6429213
"7145","trans-anol tiglate","trans-anol tiglate","C6614",NA
"7146","trans-arbusculone","trans-arbusculone","C6615",70555932
"7147","trans-arteannuic alcohol","trans-arteannuic alcohol","C6616",NA
"7148","trans-artennauic alcohol","trans-artennauic alcohol","C6617",NA
"7149","trans-ascaridol glycol","trans-ascaridol glycol","C6618",NA
"7150","trans-ascaridole","trans-ascaridole","C6619",6429269
"7151","trans-beta-bergamotene","trans-beta-bergamotene","C7104",12300069
"7152","trans-beta-bergamotol","trans-beta-bergamotol","C6620",NA
"7153","trans-beta-caryophyllene","trans-beta-caryophyllene","C7105",5281515
"7154","trans-beta-caryophyllene","trans-beta-caryophyllene","C7105",5281515
"7155","trans-beta-caryophyllene","trans-beta-caryophyllene","C7105",5281515
"7156","trans-beta-caryophyllene","trans -beta-caryophyllene","C7099",5281515
"7157","trans-beta-caryophyllene","trans -beta-caryophyllene","C7099",5281515
"7158","trans-beta-caryophyllene","trans -beta-caryophyllene","C7099",5281515
"7159","trans-beta-caryophyllene","trans–beta-caryophyllene","C6786",5281515
"7160","trans-beta-caryophyllene","trans–beta-caryophyllene","C6786",5281515
"7161","trans-beta-caryophyllene","trans–beta-caryophyllene","C6786",5281515
"7162","trans-beta-dihydroterpineol","trans-beta-dihydroterpineol","C6621",NA
"7163","trans-beta-elemenone","trans-beta-elemenone","C7106",NA
"7164","trans-beta-farnesene","trans-beta-farnesene","C7107",5281517
"7165","trans-beta-farnesene","trans-beta-farnesene","C7107",5281517
"7166","trans-beta-farnesene","trans-beta -farnesene","C6631",5281517
"7167","trans-beta-farnesene","trans-beta -farnesene","C6631",5281517
"7168","trans-beta-guaiene","trans-beta-guaiene","C7108",NA
"7169","trans-beta-guaine","trans-beta-guaine","C6622",NA
"7170","trans-beta-guajene","trans-beta-guajene","C6623",NA
